Gender,Age,Income_level,Product_interest,Purchase_history,Frequency_of_visit,Total_spend,Customer_satisfaction,Abandoned_cart,Will_purchase
Other,29,Medium,Electronics,Occasional,Monthly,Low,Very Dissatisfied,Yes,No
Female,57,Medium,Beauty,Rare,Weekly,Medium,Dissatisfied,No,No
Male,25,Low,Groceries,Frequent,Daily,Low,Very Satisfied,No,No
Other,35,Low,Beauty ,Never,Weekly,Medium,Very Dissatisfied,No,No
Other,48,Low,Furniture,Occasional,Rarely,Medium,Satisfied,No,No
Male,33,High,Furniture,Rare,Rarely,Low,Very Satisfied,No,No
Female,58,High,Groceries,Never,Weekly,High,Very Satisfied,No,Yes
Male,42,Low,Groceries,Occasional,Daily,High,Very Dissatisfied,Yes,Yes
Other,35,Low,Groceries,Rare,Weekly,Medium,Satisfied,Yes,No
Male,26,Low,Electronics,Frequent,Rarely,Low,Neutral,Yes,No
Other,34,Low,Furniture,Occasional,Rarely,Low,Neutral,No,Yes
Female,41,Low,Clothing,Never,Monthly,Low,Neutral,Yes,Yes
Female,39,Medium,Clothing,Frequent,Daily,Low,Dissatisfied,Yes,No
Male,37,Low,Furniture,Frequent,Monthly,High,Satisfied,No,Yes
Female,35,High,Beauty ,Never,Daily,Low,Satisfied,Yes,Yes
Other,54,Low,Furniture,Occasional,Rarely,Medium,Neutral,Yes,Yes
Other,26,Low,Beauty ,Rare,Monthly,Medium,Very Satisfied,Yes,No
Other,42,Medium,Groceries,Occasional,Weekly,Low,Neutral,Yes,No
Male,19,Low,Furniture,Occasional,Rarely,High,Satisfied,No,Yes
Female,54,Low,Clothing,Occasional,Daily,High,Satisfied,No,No
Female,24,High,Clothing,Occasional,Rarely,Low,Satisfied,No,Yes
Other,36,Medium,Furniture,Never,Daily,Low,Dissatisfied,Yes,No
Other,22,High,Beauty ,Frequent,Weekly,High,Very Dissatisfied,No,Yes
Male,43,High,Furniture,Never,Weekly,High,Very Dissatisfied,No,No
Male,56,Low,Groceries,Never,Daily,High,Dissatisfied,No,No
Male,27,Low,Electronics,Frequent,Rarely,High,Very Satisfied,No,Yes
Other,44,Medium,Beauty ,Frequent,Daily,High,Very Dissatisfied,Yes,Yes
Female,19,Medium,Beauty,Frequent,Weekly,High,Very Dissatisfied,No,No
Female,63,Low,Clothing,Frequent,Daily,Medium,Neutral,No,Yes
Other,29,Medium,Groceries,Frequent,Monthly,Low,Satisfied,No,Yes
Female,23,High,Electronics,Occasional,Daily,Medium,Neutral,No,No
Male,47,Medium,Electronics,Never,Monthly,Low,Very Satisfied,Yes,No
Female,48,Medium,Electronics,Rare,Monthly,Low,Dissatisfied,Yes,No
Male,25,Medium,Beauty,Occasional,Monthly,Low,Satisfied,No,No
Other,50,Low,Clothing,Never,Monthly,Medium,Dissatisfied,No,No
Male,60,Low,Furniture,Rare,Weekly,Medium,Very Satisfied,Yes,Yes
Male,22,High,Furniture,Occasional,Monthly,High,Neutral,No,Yes
Female,23,Medium,Groceries,Rare,Monthly,Low,Satisfied,No,Yes
Female,40,High,Clothing,Rare,Monthly,Medium,Very Satisfied,Yes,Yes
Other,44,Low,Beauty ,Frequent,Rarely,Low,Very Satisfied,Yes,No
Female,23,Medium,Groceries,Frequent,Rarely,High,Satisfied,Yes,No
Other,59,High,Beauty ,Frequent,Daily,Low,Very Satisfied,No,Yes
Female,46,Medium,Furniture,Occasional,Weekly,Low,Neutral,No,No
Other,42,Medium,Clothing,Rare,Daily,Medium,Very Satisfied,No,No
Other,48,Low,Electronics,Frequent,Weekly,Low,Very Satisfied,Yes,Yes
Male,24,High,Groceries,Never,Monthly,Low,Dissatisfied,No,No
